code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14014108,PJ,IDC, Introduction to Database Concepts,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014110,PJ,HEML,Highway Engineering Materials Lab,1,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14014111,PJ,SML-2,Soil Mechanics Lab-2,1,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14014201,PJ,DDIS,Design and Drawing of Irrigation Structures,1,UG,R-14,VIII SEM,1,0,2,0,2,30,70,3
14014202,PJ,RS&GIS,Remote Sensing & GIS,1,UG,R-14,VIII SEM,1,0,3,1,0,30,70,3
14014203,PJ,BSDMF,Basic Soil Dynamics and Machine Foundations,1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014204,PJ,BE,Bridge Engineering        ,1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014205,PJ,RRS,Repair and Rehabilitation of Structures,1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014206,PJ,RDHE,"Railways, Docks and Harbour Engineering           ",1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014207,PJ,HE,Hydropower Engineering ,1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014208,PJ,DMM,Disaster Management and Mitigation,1,UG,R-14,VIII SEM,1,0,3,0,0,30,70,3
14014209,PJ,PW,Project Work,1,UG,R-14,VIII SEM,0,1,0,0,0,50,50,10
14014210,PJ,CVV,Comprehensive Viva-voce,1,UG,R-14,VIII SEM,1,0,0,0,0,100,0,3
14112101,PN,EM,Engineering Mechanics,3,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14112102,PN,MS,Mechanics of Solids,3,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14992103,PN,EEEE,Electrical Engineering & Electronics Engineering,2,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14032104,PJ,MSE,Material Science and Engineering,3,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14032105,PJ,TD,Thermodynamics,3,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14032106,PJ,ME,Machine Drawing,3,UG,R-14,III SEM,1,0,1,0,4,30,70,3
14992107,PJ,MSL&MSL,Material Science Lab & Mechanics of Solids Lab,3,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14992108,PN,EEE LAB,Electrical & Electronics Engineering Lab,2,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14252109,HS,HVPE,Human Values and Professional Ethics (Audit Course),6,UG,R-14,III SEM,1,0,2,0,0,30,70,3
14212201,BS,P&S,Probability and Statistics,6,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012202,HS,ES,Environmental Studies,6,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14112203,PN,MF,Mechanics of Fluids,3,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14032204,PJ,KM,Kinematics of Machinery,3,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14032205,PJ,TE,Thermal Engineering – I,3,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14032206,PJ,MT,Manufacturing Technology,3,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14112207,PN,FMHML,Fluid Mechanics and Hydraulic Machines Lab,3,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14032208,PJ,MTL,Manufacturing Technology Lab,3,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14033101,HS,IM,Industrial Management,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14033102,PJ,TE,Thermal Engineering II,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14033103,PJ,DM-1,Dynamics of Machinery- I,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14033104,PJ,MT,Machine tools,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14033105,PJ,DME,Design of Machine Elements-I,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14033106,PJ,HT,Heat Transfer,3,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14243107,HS,AECS LAB,Advanced English Communication Skills Lab,6,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14033108,PJ,TE LAB,Thermal Engineering Lab,3,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14253201,HS,MEFA,Managerial Economics and Financial Analysis,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033202,PJ,OR,Operations Research,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033203,PJ,DM-2,Dynamics of Machinery-II,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033204,PJ,RAC,Refrigeration and AirConditioning,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033205,PJ,DME-2,Design of Machine Elements-II,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033206,PJ,AE,Automobile Engineering ,3,UG,R-14,VI SEM,1,0,3,0,0,30,70,3
14033207,PJ,ICE,IC Engines    ,3,UG,R-14,VI SEM,1,0,3,0,0,30,70,3
14033208,PJ,EP,Entrepreneurship,3,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14033209,PJ,M&MT LAB,Metrology & MachineTools Lab,3,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14033210,PJ,HT&DL,Heat Transfer and Dynamics Lab,3,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14034101,PJ,CAD/CAM,CAD/CAM,3,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14034102,PJ,M,Metrology,3,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14034103,PJ,FEM,Finite Element Methods,3,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14034104,PJ,ICS,Instrumentation and Control Systems,3,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
